scenario_desc,spacet_v0_none_mean,spacet_v3_irwls_mean,music_mean,dwls_minor_mean,spacet_v0_none_std,spacet_v3_irwls_std,music_std,dwls_minor_std,spacet_v0_none_n,spacet_v3_irwls_n,music_n,dwls_minor_n
Tumor Purity (60-90%),0.5805095486665052,0.9097029353957474,0.875395898056665,0.8265401425779879,0.31991756874246546,0.07124514849155689,0.12061480650499927,0.1576660174826388,100,100,100,100
Titration (0-90%),0.5887400121370467,0.8702563285315272,0.8295170639175312,0.7876148863388722,0.2777203738234945,0.09166602124755326,0.12071919523782357,0.166164303828812,100,100,100,100
Uniform (alpha=1.0),0.7365133526464767,0.8130397880253873,0.7903768972435246,0.8113494990984498,0.07986955051952024,0.03727098960911233,0.09141643562855895,0.1545472754481148,100,100,100,100
Sparse (alpha=0.3),0.8418556081971729,0.9029818964856767,0.904497878041287,0.9073654234103082,0.05755738984244095,0.021329967122209945,0.04536167472042632,0.08502541060825405,100,100,100,100
