Overall Pearson r:    0.9645
Overall Spearman rho: 0.6840
Overall RMSE:         0.0642

Per-cell-type:
  B cell                     r=0.8040  RMSE=0.0337
  CAF                        r=0.9690  RMSE=0.0163
  Endothelial                r=0.9612  RMSE=0.0172
  Malignant                  r=0.9206  RMSE=0.1060
  Myeloid                    r=0.9817  RMSE=0.0189
  Normal_Epithelial          r=0.6659  RMSE=0.1498
  PVL                        r=0.9669  RMSE=0.0157
  Plasma                     r=0.9684  RMSE=0.0229
  T_cells                    r=0.9282  RMSE=0.0238
