Scenario,SpaCET_r,SpaCET + weighting_r,MuSiC_r,DWLS_r,DWLS_minor_r
Sparse (alpha=0.3),0.9171847183428566,0.92320857295799,0.946315590126228,0.8322647011060057,0.856096462923558
Titration (0-90%),0.9289803967004744,0.935265219576952,0.8643372813758493,0.6801188360947199,0.7408085018247061
Tumor Purity (60-90%),0.9600704805885942,0.9645433099699282,0.8956097822539307,0.8126316738874362,0.8744486052403058
Uniform (alpha=1.0),0.837456670683697,0.8467062735150006,0.8763627362240798,0.6919463245029426,0.7190121568383517
