Overall Pearson r:    0.9353
Overall Spearman rho: 0.8117
Overall RMSE:         0.0599

Per-cell-type:
  B cell                     r=0.8010  RMSE=0.0671
  CAF                        r=0.9707  RMSE=0.0200
  Endothelial                r=0.9802  RMSE=0.0191
  Malignant                  r=0.9849  RMSE=0.0868
  Myeloid                    r=0.9765  RMSE=0.0402
  Normal_Epithelial          r=0.7528  RMSE=0.1100
  PVL                        r=0.9556  RMSE=0.0208
  Plasma                     r=0.9835  RMSE=0.0395
  T_cells                    r=0.9814  RMSE=0.0617
