                    p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
CCL21_CCR7           0.066701  14.245569   0.000999      0.004740
COL5A1_ITGB1         0.066292  13.757384   0.000999      0.004740
LTB_CD40             0.066071  13.901301   0.000999      0.004740
BTLA_CD79A           0.066042  14.003212   0.000999      0.004740
COL11A1_ITGB1        0.065915  14.046847   0.000999      0.004740
HSP90AA1_FGFR3       0.065635  14.516459   0.000999      0.004740
FN1_ITGAV            0.065550  14.044628   0.000999      0.004740
GAS6_AXL             0.065494  13.837094   0.000999      0.004740
HLA-E_KLRD1          0.065335  14.082450   0.000999      0.004740
GNAS_ADCY1           0.065330  13.930746   0.000999      0.004740
CGN_F11R             0.065185  13.732632   0.000999      0.004740
GNAI2_CAV1           0.065096  13.901529   0.000999      0.004740
GNAI2_F2R            0.065088  13.874643   0.000999      0.004740
COL4A1_ITGB1         0.064792  13.685447   0.000999      0.004740
MMP7_CD44            0.063799  13.167778   0.000999      0.004740
CXCL13_CXCR3         0.063760  13.636476   0.000999      0.004740
CYR61_ITGAV          0.063277  13.584027   0.000999      0.004740
FN1_ITGB6            0.063215  13.323538   0.000999      0.004740
COL3A1_ITGB1         0.062556  12.692241   0.000999      0.004740
MFGE8_ITGAV          0.062400  13.257399   0.000999      0.004740
C1QA_CR1             0.062365  13.447038   0.000999      0.004740
THBS2_NOTCH3         0.062157  12.981570   0.000999      0.004740
APOD_LEPR            0.061778  13.167127   0.000999      0.004740
PSEN1_NCSTN          0.061365  13.348902   0.000999      0.004740
APP_NCSTN            0.061096  12.950780   0.000999      0.004740
VEGFA_ITGB1          0.061067  12.868805   0.000999      0.004740
IL16_CCR5            0.060567  12.640793   0.000999      0.004740
HLA-C_CD3G           0.060426  12.893355   0.000999      0.004740
COL2A1_DDR1          0.060310  12.833257   0.000999      0.004740
HLA-C_LILRB2         0.059904  12.571908   0.000999      0.004740
ICAM1_ITGB2          0.059497  12.450339   0.000999      0.004740
GNAI2_S1PR4          0.059141  12.861068   0.000999      0.004740
FN1_IL17RC           0.059119  12.250464   0.000999      0.004740
SPP1_ITGB1           0.058862  12.420559   0.000999      0.004740
RARRES2_CMKLR1       0.058366  12.548597   0.000999      0.004740
ICAM2_ITGAL          0.057805  12.325991   0.000999      0.004740
COL3A1_DDR2          0.057583  11.849175   0.000999      0.004740
THBS1_SCARB1         0.057402  12.113496   0.000999      0.004740
MDK_SDC4             0.056929  12.491200   0.000999      0.004740
JAG1_NOTCH3          0.056640  11.962996   0.000999      0.004740
TGFB1_CAV1           0.056107  11.947089   0.000999      0.004740
GNAI2_CCR5           0.055638  11.906044   0.000999      0.004740
BGN_TLR4             0.055595  11.513701   0.000999      0.004740
LRPAP1_LRP2          0.055455  12.024033   0.000999      0.004740
GNAI2_ADCY7          0.055353  11.560392   0.000999      0.004740
ICAM1_IL2RG          0.055205  11.947455   0.000999      0.004740
GNAI2_CXCR3          0.054828  11.347980   0.000999      0.004740
EFEMP2_PLSCR4        0.054751  11.769121   0.000999      0.004740
PLAU_MRC2            0.054679  11.148197   0.000999      0.004740
LAMC2_COL17A1        0.054480  11.437274   0.000999      0.004740
COL6A3_ITGA1         0.054254  11.830802   0.000999      0.004740
ICAM2_ITGB2          0.054124  11.660126   0.000999      0.004740
COL1A1_FLT4          0.053755  11.579294   0.000999      0.004740
CSF1_CSF1R           0.053408  11.006447   0.000999      0.004740
COL4A1_CD93          0.052846  11.485241   0.000999      0.004740
INHBA_ENG            0.052662  11.011015   0.000999      0.004740
THBS1_ITGB1          0.052277  11.062271   0.000999      0.004740
FN1_ITGA5            0.051962  10.897039   0.000999      0.004740
HMGB1_SDC1           0.051620  11.063132   0.000999      0.004740
VCAN_SELL            0.050807  11.029865   0.000999      0.004740
CFH_SELL             0.050769  10.858993   0.000999      0.004740
LCN2_LRP2            0.050631  10.803764   0.000999      0.004740
COL1A2_FLT4          0.050456  10.852197   0.000999      0.004740
