                    p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
TNFSF14_TNFRSF14     0.019802   4.348157   0.000999      0.004740
PSEN1_NOTCH2         0.019745   4.323245   0.000999      0.004740
PLAU_ITGAM           0.019743   4.068322   0.000999      0.004740
WNT3A_ATP6AP2        0.019668   4.250832   0.000999      0.004740
CYR61_ITGAM          0.019649   4.328693   0.000999      0.004740
ICAM4_ITGAL          0.019637   4.003499   0.000999      0.004740
CCL13_CCR5           0.019610   4.145795   0.000999      0.004740
HLA-A_KIR2DL3        0.019583   4.223204   0.000999      0.004740
APP_GPC1             0.019569   4.197798   0.000999      0.004740
NLGN2_NRXN2          0.019343   4.116769   0.000999      0.004740
ARTN_RET             0.019334   4.097826   0.000999      0.004740
NRTN_RET             0.019251   4.165029   0.000999      0.004740
EDN2_EDNRA           0.019146   4.201067   0.000999      0.004740
FGF12_FGFR3          0.019097   4.136396   0.000999      0.004740
PSAP_CD1B            0.019088   3.989286   0.000999      0.004740
CXCL16_CXCR6         0.018984   3.888047   0.000999      0.004740
THBS2_ITGA4          0.018979   4.010060   0.000999      0.004740
EFNB3_EPHB3          0.018915   4.016294   0.000999      0.004740
HLA-C_KIR2DL3        0.018906   4.139286   0.000999      0.004740
PLAU_ITGB5           0.018889   3.986883   0.000999      0.004740
COL9A2_MAG           0.018888   3.988969   0.000999      0.004740
WNT5A_FZD2           0.018839   3.936262   0.000999      0.004740
VCAM1_ITGA9          0.018797   3.825584   0.000999      0.004740
RTN4_GJB2            0.018720   4.055263   0.000999      0.004740
CD34_SELL            0.018709   4.089673   0.000999      0.004740
TGFB3_TGFBR2         0.018700   3.974432   0.000999      0.004740
IL16_KCNJ15          0.018633   3.849497   0.000999      0.004740
CCL11_CCR2           0.018629   3.896693   0.000999      0.004740
INHBA_ACVR1          0.018617   3.901991   0.000999      0.004740
ADAM17_ITGA5         0.018592   3.796291   0.000999      0.004740
WNT2_FZD1            0.018537   4.109633   0.000999      0.004740
LIN7C_ABCA1          0.018510   4.089125   0.000999      0.004740
JAG2_NOTCH3          0.018487   3.988026   0.000999      0.004740
CALM1_INSR           0.018486   3.945826   0.000999      0.004740
JAG1_NOTCH1          0.018427   3.961935   0.000999      0.004740
TNFSF13B_TNFRSF17    0.018403   4.011359   0.000999      0.004740
ACE_BDKRB2           0.018356   3.953872   0.000999      0.004740
CCL3_CCR5            0.018275   3.666074   0.000999      0.004740
PTN_SDC1             0.018181   3.848335   0.000999      0.004740
MFAP5_NOTCH1         0.018166   3.871411   0.000999      0.004740
SPP1_ITGAV           0.018028   3.658247   0.000999      0.004740
CTGF_NTRK1           0.017993   3.764112   0.000999      0.004740
LAMA1_ITGA1          0.017985   3.825023   0.000999      0.004740
CCL4_CCR1            0.017862   3.785281   0.000999      0.004740
FGF16_FGFR4          0.017848   3.746952   0.000999      0.004740
IL18_IL18RAP         0.017814   3.875067   0.000999      0.004740
ANGPTL4_TIE1         0.017811   3.843960   0.000999      0.004740
CCL2_CCR1            0.017795   3.756926   0.000999      0.004740
FN1_ROBO4            0.017777   3.825142   0.000999      0.004740
WNT5A_FZD7           0.017654   3.763083   0.000999      0.004740
GNAI2_ADRA2A         0.017583   3.604778   0.000999      0.004740
HLA-B_LILRB1         0.017525   4.025049   0.000999      0.004740
C5_C5AR1             0.017415   3.584752   0.000999      0.004740
LIPC_LRP1            0.017368   3.786833   0.000999      0.004740
COL4A4_CD93          0.017367   3.729377   0.000999      0.004740
F10_ITGAM            0.017313   3.749507   0.000999      0.004740
ARF1_CHRM3           0.017262   3.620313   0.000999      0.004740
WNT3A_FZD2           0.017242   3.621723   0.000999      0.004740
ICAM3_ITGAD          0.017227   3.695721   0.000999      0.004740
HP_ITGAM             0.017223   3.657729   0.000999      0.004740
COL2A1_ITGA2         0.017187   3.458035   0.000999      0.004740
HLA-G_LILRB2         0.017185   3.742207   0.000999      0.004740
HBEGF_CD44           0.017073   3.898233   0.000999      0.004740
MDK_GPC2             0.017041   3.619813   0.000999      0.004740
LAMC2_ITGA3          0.017036   3.663967   0.000999      0.004740
LTA_TNFRSF1A         0.017033   3.618186   0.000999      0.004740
THBS1_ITGA3          0.016931   3.653338   0.000999      0.004740
GREM1_KDR            0.016834   3.696623   0.000999      0.004740
GNAI2_EGFR           0.016773   3.409945   0.000999      0.004740
KNG1_ITGB2           0.016757   3.462899   0.000999      0.004740
ADAM10_AXL           0.016662   3.487319   0.000999      0.004740
CCL11_CCR5           0.016554   3.609597   0.000999      0.004740
VWF_TNFRSF11B        0.016418   3.400820   0.000999      0.004740
IL10_IL10RA          0.016387   3.537137   0.000999      0.004740
ITGB3BP_ITGB5        0.016345   3.343395   0.000999      0.004740
LAMA5_ITGB4          0.016237   3.584584   0.000999      0.004740
TNFSF12_TNFRSF25     0.015963   3.334090   0.000999      0.004740
BMP6_BMPR2           0.015719   3.373724   0.000999      0.004740
COL1A1_ITGA2         0.015433   3.251162   0.000999      0.004740
FN1_ITGA8            0.015114   3.175092   0.000999      0.004740
CCL14_CCR5           0.014982   3.033495   0.000999      0.004740
BMP8B_BMPR1A         0.014923   3.133817   0.000999      0.004740
THBS1_ITGA6          0.014602   3.136376   0.000999      0.004740
ADAM17_NOTCH1        0.014382   2.932998   0.000999      0.004740
HLA-E_KLRC2          0.014258   2.966501   0.000999      0.004740
HBEGF_CD82           0.014177   3.116269   0.000999      0.004740
CDH1_CDH2            0.014168   3.153665   0.000999      0.004740
CXCL11_CXCR3         0.013469   2.987658   0.000999      0.004740
HBEGF_ERBB2          0.013142   2.835002   0.000999      0.004740
XCL2_XCR1            0.019803   4.112622   0.001998      0.008934
TSLP_IL7R            0.018092   3.864892   0.001998      0.008934
FGF19_FGFR3          0.017762   3.929125   0.001998      0.008934
ANGPTL2_TIE1         0.017450   3.514407   0.001998      0.008934
FARP2_PLXNA1         0.017265   3.631043   0.001998      0.008934
COL7A1_ITGA2         0.016724   3.454319   0.001998      0.008934
DLL4_NOTCH3          0.016499   3.438804   0.001998      0.008934
CCL5_ACKR4           0.016004   3.403752   0.001998      0.008934
FBN1_ITGB6           0.016003   3.313643   0.001998      0.008934
COL1A2_CD36          0.015933   3.378744   0.001998      0.008934
LAMB3_ITGA3          0.015737   3.327382   0.001998      0.008934
AGT_LRP2             0.015606   3.275065   0.001998      0.008934
BST1_CAV1            0.015468   3.330467   0.001998      0.008934
CCL19_CCRL2          0.015313   3.206493   0.001998      0.008934
TNC_CNTN1            0.015300   3.337249   0.001998      0.008934
VCAN_ITGB1           0.015203   3.243535   0.001998      0.008934
CALM1_ABCA1          0.014970   3.210898   0.001998      0.008934
TGFB3_TGFBR3         0.014859   3.163748   0.001998      0.008934
CXCL11_ACKR3         0.014823   3.071684   0.001998      0.008934
IL18_IL18R1          0.014808   3.273766   0.001998      0.008934
MDK_LRP1             0.014400   3.139039   0.001998      0.008934
ADAM17_ITGB1         0.014234   2.974897   0.001998      0.008934
TNF_LTBR             0.013839   2.950939   0.001998      0.008934
LAMC1_ITGAV          0.013774   2.791631   0.001998      0.008934
NDP_LGR4             0.013611   2.923308   0.001998      0.008934
PDGFB_PDGFRB         0.013405   2.849752   0.001998      0.008934
EGF_ERBB3            0.013390   2.897898   0.001998      0.008934
TNC_ITGB1            0.013372   2.881359   0.001998      0.008934
IL1RN_IL1R1          0.013322   2.738749   0.001998      0.008934
LAMA5_BCAM           0.012941   2.808763   0.001998      0.008934
VEGFA_FLT1           0.012559   2.663023   0.001998      0.008934
CALM1_TRPC3          0.012469   2.760807   0.001998      0.008934
TGFB2_TGFBR1         0.016600   3.397501   0.002997      0.013094
ANGPT4_TIE1          0.015897   3.375467   0.002997      0.013094
SORBS1_ITGB5         0.015464   3.396720   0.002997      0.013094
PDGFA_PDGFRA         0.015328   3.166734   0.002997      0.013094
VEGFC_NRP2           0.015263   3.297562   0.002997      0.013094
TNFSF13B_TNFRSF13B   0.014780   3.157891   0.002997      0.013094
SHBG_SLC37A1         0.014737   3.147142   0.002997      0.013094
LAMC1_ITGB4          0.014492   3.033634   0.002997      0.013094
TGFA_ERBB4           0.013973   3.213949   0.002997      0.013094
COL4A3_ITGAV         0.013443   2.886143   0.002997      0.013094
EFNA1_EPHA8          0.013326   2.793566   0.002997      0.013094
PSAP_GPR37           0.012099   2.665813   0.002997      0.013094
PAPLN_SIRPA          0.011968   2.580814   0.002997      0.013094
IL6_F3               0.015507   3.409786   0.003996      0.017128
IL10_SIRPG           0.015187   3.159673   0.003996      0.017128
CP_SLC40A1           0.014955   3.124594   0.003996      0.017128
WNT5A_FZD6           0.014206   3.036639   0.003996      0.017128
HMGB1_THBD           0.013992   2.957405   0.003996      0.017128
JAG2_NOTCH2          0.013906   2.792765   0.003996      0.017128
NTN1_UNC5C           0.013428   2.882787   0.003996      0.017128
SEMA4D_PLXNB2        0.013315   2.735992   0.003996      0.017128
ADAM12_ITGB1         0.012840   2.697719   0.003996      0.017128
BTC_ERBB2            0.012827   2.824588   0.003996      0.017128
UBA52_AGTR1          0.012306   2.698719   0.003996      0.017128
DLL4_NOTCH4          0.015145   3.056214   0.004995      0.021154
CCL5_CCR4            0.014346   3.057309   0.004995      0.021154
EFNB1_EPHB6          0.014131   2.972553   0.004995      0.021154
UBA52_EGFR           0.013321   2.821259   0.004995      0.021154
COL1A2_ITGB3         0.013234   2.853990   0.004995      0.021154
TNFSF4_TRAF2         0.012719   2.813582   0.004995      0.021154
CAMP_IGF1R           0.012715   2.711388   0.004995      0.021154
LAMA1_NT5E           0.014164   2.974727   0.005994      0.024835
NID1_ITGB3           0.013917   2.863248   0.005994      0.024835
COL1A2_ITGA2         0.013444   2.768046   0.005994      0.024835
IL2_IL2RG            0.013408   2.948331   0.005994      0.024835
COL4A3_CD93          0.013388   2.939357   0.005994      0.024835
FGF12_FGFR4          0.013101   2.683363   0.005994      0.024835
FN1_ITGB3            0.012195   2.653960   0.005994      0.024835
UBA52_ACVR1          0.012077   2.558746   0.005994      0.024835
FGF2_NRP1            0.011939   2.640452   0.005994      0.024835
CALM2_MYLK2          0.011655   2.483724   0.005994      0.024835
COL2A1_ITGA2B        0.011510   2.494221   0.005994      0.024835
CALM1_AQP6           0.011477   2.412171   0.005994      0.024835
DLL1_NOTCH2          0.011009   2.497273   0.005994      0.024835
NTF4_NTRK2           0.014528   3.184769   0.006993      0.028546
WNT7A_LRP6           0.013639   2.761758   0.006993      0.028546
COL4A6_ITGAV         0.013129   2.827706   0.006993      0.028546
COL2A1_MAG           0.012816   2.769622   0.006993      0.028546
CGA_SIRPA            0.012462   2.668179   0.006993      0.028546
NTN1_NEO1            0.012451   2.577302   0.006993      0.028546
PTN_SDC3             0.012384   2.564577   0.006993      0.028546
HRAS_INSR            0.011668   2.485778   0.006993      0.028546
ANGPT1_ITGB1         0.011112   2.403015   0.006993      0.028546
EDIL3_ITGAV          0.013365   2.811633   0.007992      0.032045
VEGFC_FLT4           0.012892   2.636742   0.007992      0.032045
CCL7_CCR1            0.012332   2.669676   0.007992      0.032045
ADAM23_ITGA5         0.012279   2.536840   0.007992      0.032045
HSPG2_PTPRS          0.011862   2.517143   0.007992      0.032045
VCAM1_ITGAD          0.011724   2.420869   0.007992      0.032045
BMP8B_BMPR2          0.011516   2.403436   0.007992      0.032045
CALR_SCARF1          0.011510   2.570726   0.007992      0.032045
CCL11_CXCR3          0.011411   2.413278   0.007992      0.032045
TNC_ITGA2            0.010972   2.246268   0.007992      0.032045
SEMA7A_ITGB1         0.010409   2.283488   0.007992      0.032045
BMP3_BMPR1A          0.014444   2.928861   0.008991      0.035706
CEL_CXCR4            0.012641   2.626145   0.008991      0.035706
VEGFC_ITGA9          0.012615   2.639462   0.008991      0.035706
VCAM1_ITGA4          0.011995   2.478145   0.008991      0.035706
EFEMP2_CATSPER1      0.011429   2.443449   0.008991      0.035706
ASIP_ATRN            0.011190   2.383199   0.008991      0.035706
ADAM15_ITGAV         0.012077   2.494435   0.009990      0.039296
FN1_ITGA6            0.011761   2.464032   0.009990      0.039296
APP_FPR2             0.011722   2.407714   0.009990      0.039296
CALM1_VIPR1          0.011216   2.413191   0.009990      0.039296
EFNB1_EPHB3          0.010942   2.371299   0.009990      0.039296
EFNA1_EPHA1          0.010421   2.245600   0.009990      0.039296
COL4A1_CD47          0.011822   2.541154   0.010989      0.042752
SEMA5A_MET           0.011798   2.441948   0.010989      0.042752
BMP8B_ACVR2B         0.011725   2.529760   0.010989      0.042752
WNT2_FZD8            0.011584   2.485621   0.010989      0.042752
C4A_C5AR2            0.011159   2.428156   0.010989      0.042752
TGFB3_ACVRL1         0.010520   2.298936   0.010989      0.042752
WNT3A_RYK            0.010225   2.272958   0.010989      0.042752
ICAM5_ITGAL          0.012372   2.511913   0.011988      0.046205
EFNA5_EPHA6          0.012013   2.473006   0.011988      0.046205
LAMC1_ITGA6          0.011176   2.346448   0.011988      0.046205
FAT4_DCHS1           0.011165   2.313572   0.011988      0.046205
KITLG_EPOR           0.010987   2.419396   0.011988      0.046205
LAMB3_ITGB1          0.010185   2.210604   0.011988      0.046205
DUSP18_ITGA7         0.011929   2.521439   0.012987      0.049978
PROC_THBD            0.010553   2.368827   0.013986      0.053739
MMP7_CDH6            0.011388   2.343918   0.014985      0.057049
AREG_EGFR            0.011149   2.435286   0.014985      0.057049
FARP2_PLXNA4         0.010822   2.330435   0.014985      0.057049
F13A1_ITGA9          0.010747   2.275160   0.014985      0.057049
GNAI2_S1PR5          0.010496   2.215270   0.014985      0.057049
DLL1_NOTCH1          0.010471   2.241754   0.014985      0.057049
VEGFC_VIPR2          0.011627   2.418156   0.015984      0.060298
GDF9_BMPR2           0.010979   2.226379   0.015984      0.060298
FGF1_EGFR            0.010701   2.228019   0.015984      0.060298
FGF13_FGFR2          0.010453   2.206284   0.015984      0.060298
NPNT_ITGA8           0.010270   2.174834   0.015984      0.060298
TNC_NT5E             0.009955   2.120553   0.015984      0.060298
WNT5A_FZD1           0.011818   2.407057   0.016983      0.063393
EFNA5_EPHA8          0.011423   2.513927   0.016983      0.063393
EFNB2_EPHB4          0.011215   2.320008   0.016983      0.063393
IGFL2_IGFLR1         0.010520   2.210473   0.016983      0.063393
LTBP1_ITGB5          0.010352   2.263191   0.016983      0.063393
CALR_ITGA2B          0.009787   2.072377   0.016983      0.063393
PSEN1_NOTCH1         0.009757   2.084982   0.016983      0.063393
CCL19_ACKR4          0.011907   2.394889   0.017982      0.066622
JAG2_NOTCH1          0.010815   2.290500   0.017982      0.066622
CCL2_CCR10           0.010732   2.257272   0.017982      0.066622
CLEC3A_CLEC2B        0.010115   2.165536   0.017982      0.066622
GNAI2_EDNRA          0.009673   2.104783   0.017982      0.066622
CCL3_CCR1            0.010019   2.109381   0.018981      0.070010
SPP1_CD44            0.009895   2.118971   0.018981      0.070010
DCN_MET              0.009068   1.995791   0.018981      0.070010
IL6_IL6R             0.011431   2.402219   0.019980      0.073152
DLL4_NOTCH2          0.010344   2.142213   0.019980      0.073152
EFNA4_EPHA8          0.009846   2.151011   0.019980      0.073152
LAMA1_SDC2           0.009736   2.156134   0.019980      0.073152
EFNB1_EPHB2          0.009564   1.975686   0.019980      0.073152
CCL13_CCR2           0.010818   2.368100   0.020979      0.076360
COL4A3_ITGA1         0.010674   2.241807   0.020979      0.076360
EGF_ERBB2            0.008987   1.859463   0.020979      0.076360
ZG16B_TLR5           0.008884   1.980654   0.020979      0.076360
EGF_EGFR             0.012054   2.607621   0.021978      0.079879
LAMA1_ITGA6          0.010335   2.155911   0.022977      0.083267
HSP90B1_TLR2         0.009841   2.020541   0.022977      0.083267
EGFL8_NCR3           0.013051   2.702930   0.023976      0.086009
BMP6_ACVR1           0.010147   2.155464   0.023976      0.086009
IL12B_IL12RB1        0.010054   2.254227   0.023976      0.086009
DUSP18_ITGB4         0.009967   2.070037   0.023976      0.086009
SLIT2_ROBO1          0.009780   2.135334   0.023976      0.086009
CALM2_KCNQ1          0.009593   2.027023   0.023976      0.086009
TIMP2_ITGA3          0.008859   1.897221   0.023976      0.086009
IFNL1_IFNLR1         0.010453   2.242842   0.024975      0.089079
F8_ASGR2             0.010307   2.125231   0.024975      0.089079
PTN_PLXNB2           0.009491   2.009079   0.024975      0.089079
DLK1_NOTCH3          0.009380   2.049722   0.024975      0.089079
NTF3_NTRK2           0.012763   2.553107   0.025974      0.092245
FGF12_FGFR2          0.009369   2.017975   0.025974      0.092245
FN1_ITGA4            0.009072   1.917761   0.025974      0.092245
EFNA3_EPHA1          0.009215   2.052158   0.026973      0.095384
CCL19_CCR10          0.008916   1.864277   0.026973      0.095384
LAMC1_ITGA7          0.008755   1.884398   0.026973      0.095384
VIP_ADCYAP1R1        0.011713   2.797562   0.027972      0.098496
CCL3L1_CCR5          0.008775   1.867962   0.027972      0.098496
HSP90B1_TLR9         0.008402   1.793151   0.027972      0.098496
COL4A6_ITGA1         0.010537   2.170739   0.028971      0.101726
OLFM2_ROBO2          0.009801   2.099642   0.028971      0.101726
EFNB3_EPHA4          0.009798   2.037766   0.029970      0.104643
INHA_ACVR2B          0.009223   1.997472   0.029970      0.104643
FLT3LG_FLT3          0.008737   1.934026   0.029970      0.104643
B2M_CD1B             0.008049   1.761746   0.029970      0.104643
FN1_ITGA2B           0.008171   1.759241   0.031968      0.111462
HDC_HRH3             0.010692   2.330750   0.032967      0.114145
FGF8_FGFR1           0.010197   2.105764   0.032967      0.114145
SERPINE1_PLAUR       0.009607   2.007153   0.032967      0.114145
ADAM15_ITGB3         0.008988   1.865916   0.032967      0.114145
RGMB_BMPR1B          0.008899   1.879838   0.032967      0.114145
TNFSF15_TNFRSF25     0.009241   1.952442   0.033966      0.116791
NPPC_NPR2            0.009080   1.934416   0.033966      0.116791
WNT3_FZD7            0.008941   1.850775   0.033966      0.116791
VCAN_TLR1            0.008929   1.936395   0.033966      0.116791
SEMA4D_PLXNB1        0.008207   1.767607   0.033966      0.116791
CALM2_AQP6           0.007657   1.669836   0.035964      0.123490
ANGPT4_TEK           0.009922   2.107693   0.036963      0.126570
VEGFB_FLT1           0.008248   1.702500   0.036963      0.126570
JAG2_NOTCH4          0.008476   1.808922   0.037962      0.129634
FGF1_NRP1            0.007746   1.692235   0.037962      0.129634
TGM2_TBXA2R          0.008543   1.795465   0.039960      0.136083
CALM2_KCNQ5          0.008069   1.698685   0.039960      0.136083
COL4A6_CD93          0.008893   1.954957   0.040959      0.138536
IL1B_IL1RAP          0.008279   1.818268   0.040959      0.138536
DHH_PTCH1            0.008259   1.839523   0.040959      0.138536
CALM3_MYLK2          0.008101   1.701867   0.040959      0.138536
FGF10_FGFR1          0.008065   1.758719   0.040959      0.138536
TNC_ITGA7            0.009217   1.821116   0.042957      0.144704
LAMA3_SDC2           0.007991   1.696190   0.042957      0.144704
INHBA_ACVR2A         0.007587   1.700619   0.042957      0.144704
EFNB2_EPHA3          0.009033   1.808312   0.043956      0.147868
CCL26_CCR2           0.008927   1.884849   0.044955      0.150618
LAMC1_ITGA2          0.008495   1.740234   0.044955      0.150618
PSAP_SORT1           0.008250   1.763433   0.044955      0.150618
ADM_CALCR            0.008688   1.895298   0.045954      0.153551
BMP2_BMPR1B          0.008679   1.910403   0.045954      0.153551
COL8A1_ITGA2         0.008139   1.715973   0.046953      0.156050
HGF_MET              0.008065   1.762284   0.046953      0.156050
BMP7_BMPR1A          0.007944   1.664254   0.046953      0.156050
LAMB1_ITGB4          0.007825   1.699389   0.046953      0.156050
GNAI2_CNR1           0.007976   1.672331   0.047952      0.158733
TNFSF10_TNFRSF10D    0.007652   1.622582   0.047952      0.158733
NCAM1_PTPRA          0.007570   1.685471   0.047952      0.158733
CCL8_CCR1            0.008019   1.687651   0.048951      0.161825
PDGFC_FLT1           0.007682   1.665567   0.049950      0.164908
DUSP18_ITGA6         0.008103   1.731081   0.050949      0.167539
VIM_CD44             0.008072   1.683614   0.050949      0.167539
C5_C5AR2             0.007819   1.664974   0.050949      0.167539
VCAM1_ITGB1          0.007812   1.625944   0.052947      0.173879
KNG1_CD93            0.008064   1.759115   0.053946      0.176693
HAS2_CD44            0.007789   1.609427   0.053946      0.176693
TGM2_ITGB3           0.008089   1.658587   0.054945      0.179728
CAMP_FPR2            0.008583   1.767984   0.055944      0.182516
WNT3A_LRP6           0.007888   1.645243   0.055944      0.182516
IL2_IL2RA            0.008809   1.829999   0.056943      0.185531
IFNL3_IFNLR1         0.008171   1.783062   0.057942      0.188047
IBSP_ITGAV           0.007603   1.619173   0.057942      0.188047
CALM3_PDE1C          0.007317   1.620510   0.057942      0.188047
SELPLG_ESAM          0.007321   1.607013   0.058941      0.191040
GAL_GALR2            0.007876   1.712651   0.059940      0.193521
LAMB1_ITGB1          0.007482   1.538640   0.059940      0.193521
RELN_ITGA3           0.007462   1.605909   0.059940      0.193521
ADAM10_EPHA3         0.006896   1.505550   0.060939      0.196491
MFGE8_ITGB3          0.007909   1.670791   0.061938      0.199195
HSPG2_COL13A1        0.007561   1.619846   0.061938      0.199195
KNG1_GP1BA           0.008291   1.718448   0.062937      0.201366
IFNL1_IL10RB         0.007883   1.607381   0.062937      0.201366
DHH_BOC              0.007691   1.636678   0.062937      0.201366
PSPN_RET             0.007023   1.533524   0.062937      0.201366
HP_ASGR2             0.007599   1.734234   0.063936      0.204037
LTF_TFRC             0.007117   1.537428   0.063936      0.204037
AMH_EGFR             0.007023   1.442265   0.064935      0.206960
SEMA3F_PLXNA3        0.007756   1.591777   0.065934      0.209339
IL16_KCND1           0.007449   1.544382   0.065934      0.209339
CCL28_CCR10          0.007231   1.504928   0.065934      0.209339
CCL26_CCR1           0.007360   1.560675   0.067932      0.215133
TNC_ITGA9            0.006607   1.444457   0.067932      0.215133
SERPINC1_SDC2        0.006927   1.536542   0.068931      0.218019
CALM3_KCNQ5          0.007504   1.602102   0.069930      0.220617
CTHRC1_FZD3          0.006846   1.498664   0.069930      0.220617
THBS1_SDC1           0.007068   1.508741   0.070929      0.223485
NGF_NGFR             0.007356   1.599043   0.071928      0.226060
LAMC1_ITGA1          0.006596   1.458776   0.071928      0.226060
NTN1_UNC5B           0.006902   1.490201   0.072927      0.228910
RNASE2_TLR2          0.007106   1.483150   0.073926      0.231461
PIGF_FLT1            0.006474   1.455080   0.073926      0.231461
EFNA3_EPHA6          0.007300   1.534236   0.074925      0.233413
IFNG_IFNGR1          0.007239   1.504753   0.074925      0.233413
CLCF1_CRLF1          0.007158   1.479365   0.074925      0.233413
LIPH_LPAR2           0.007096   1.500220   0.074925      0.233413
GNB3_GABBR2          0.007704   1.574419   0.075924      0.235934
HLA-E_SLC16A4        0.006256   1.431790   0.075924      0.235934
NXPH3_NRXN3          0.006616   1.499520   0.076923      0.238442
PLAU_ITGA3           0.006425   1.454013   0.076923      0.238442
FGF8_FGFR3           0.007101   1.463113   0.077922      0.240938
DUSP18_ITGA1         0.006833   1.357021   0.077922      0.240938
CORT_SSTR2           0.007368   1.510063   0.078921      0.243120
GRP_GRPR             0.006840   1.498844   0.078921      0.243120
NLGN2_NRXN3          0.006721   1.481501   0.078921      0.243120
COL4A4_ITGA1         0.007195   1.417538   0.079920      0.245286
SHBG_CLDN4           0.006638   1.437002   0.079920      0.245286
HLA-B_CANX           0.006200   1.399503   0.079920      0.245286
NTF4_NTRK3           0.007050   1.473067   0.080919      0.247435
THBS1_TNFRSF11B      0.006851   1.464952   0.080919      0.247435
NLGN3_NRXN2          0.006305   1.480061   0.080919      0.247435
MMP12_PLAUR          0.007139   1.418429   0.081918      0.249875
NGF_KIDINS220        0.006734   1.387120   0.081918      0.249875
TNFSF13_TNFRSF13B    0.007372   1.539092   0.082917      0.252303
IL16_KCNJ10          0.006973   1.464246   0.082917      0.252303
COL4A5_ITGA1         0.006859   1.381861   0.083916      0.254409
NCAM1_CACNA1C        0.006637   1.405083   0.083916      0.254409
SEMA6D_KDR           0.006625   1.381666   0.083916      0.254409
CNTN4_PTPRG          0.006628   1.398874   0.084915      0.256811
LAMB3_CD151          0.006357   1.345456   0.084915      0.256811
COL18A1_GPC1         0.006640   1.422434   0.085914      0.258574
FGF1_FGFR1           0.006541   1.365237   0.085914      0.258574
TNC_PTPRB            0.006537   1.414772   0.085914      0.258574
THBS1_CD36           0.006281   1.378597   0.085914      0.258574
LAMB3_ITGA6          0.006674   1.368515   0.087912      0.264268
SST_SSTR1            0.003967   1.042329   0.089910      0.269947
HLA-G_CD4            0.006535   1.401457   0.090909      0.272289
CX3CL1_CX3CR1        0.006316   1.293036   0.090909      0.272289
LAMC1_ITGA3          0.006486   1.328980   0.091908      0.274950
LY6G5C_TMEM8A        0.006801   1.415378   0.092907      0.277271
KNG1_ITGAM           0.006049   1.375662   0.092907      0.277271
CCL20_CCR6           0.006669   1.349896   0.093906      0.279581
ANGPT1_ITGA5         0.006496   1.362163   0.093906      0.279581
PROC_ITGB2           0.006326   1.352797   0.094905      0.282218
LEP_LRP2             0.006737   1.331552   0.095904      0.284848
L1CAM_EGFR           0.006160   1.319975   0.096903      0.287471
IL7_IL7R             0.006367   1.319230   0.098901      0.292700
RGMB_BMPR2           0.006150   1.309877   0.098901      0.292700
LRPAP1_SORL1         0.005973   1.291020   0.099900      0.294954
CCL3L1_CCR1          0.005968   1.298725   0.099900      0.294954
FASLG_FAS            0.006082   1.317353   0.101898      0.300141
ZP3_MERTK            0.006014   1.243992   0.101898      0.300141
CALM2_KCNQ3          0.005740   1.266507   0.102897      0.302724
PDGFD_PDGFRA         0.006311   1.251007   0.106893      0.313738
WNT4_FZD2            0.005930   1.225447   0.106893      0.313738
WNT5A_LRP5           0.006053   1.226850   0.107892      0.315182
PSPN_SDC3            0.005927   1.275195   0.107892      0.315182
PTN_PTPRB            0.005583   1.213213   0.107892      0.315182
CORT_SSTR3           0.004658   1.133172   0.107892      0.315182
GNAI2_PTPRU          0.006118   1.235115   0.109890      0.319891
PSAP_GPR37L1         0.005781   1.217409   0.109890      0.319891
NRG4_ERBB4           0.005730   1.226427   0.109890      0.319891
TNC_EGFR             0.005854   1.261186   0.110889      0.322421
EFNA5_EPHB6          0.005888   1.225367   0.111888      0.324567
LPL_GPIHBP1          0.005775   1.282892   0.111888      0.324567
COL4A5_CD47          0.006044   1.248268   0.112887      0.326702
HBEGF_CD9            0.005659   1.194079   0.112887      0.326702
GDF9_BMPR1A          0.005589   1.249607   0.113886      0.329210
CXCL13_CCR10         0.005942   1.249573   0.114885      0.331328
EDIL3_ITGB5          0.005619   1.207591   0.114885      0.331328
IL2_CD53             0.005901   1.205194   0.116883      0.336699
EFNA1_EPHA6          0.005796   1.222390   0.117882      0.339184
OXT_AVPR1A           0.005970   1.224974   0.119880      0.344534
SEMA6D_TYROBP        0.005911   1.156789   0.122877      0.351927
VASP_CXCR2           0.005450   1.114589   0.122877      0.351927
SEMA4G_PLXNB2        0.005335   1.106296   0.122877      0.351927
CCL13_ACKR4          0.006128   1.240328   0.123876      0.353972
NRG4_EGFR            0.005313   1.059123   0.123876      0.353972
NAMPT_INSR           0.005119   1.101818   0.124875      0.356417
GDF9_TGFBR1          0.005348   1.141769   0.125874      0.358857
EFNA5_EPHA4          0.005127   1.122964   0.126873      0.361290
INHBA_ACVR2B         0.005387   1.094084   0.127872      0.362888
FBLN2_ITGB3          0.005359   1.195210   0.127872      0.362888
SORBS1_INSR          0.005080   1.121748   0.127872      0.362888
VTN_ITGB8            0.005815   1.182512   0.129870      0.367719
RGMA_BMPR2           0.005789   1.178087   0.129870      0.367719
ADAM17_ERBB4         0.005078   1.078449   0.130869      0.370126
IL2_GYPE            -0.000203  -0.016434   0.131868      0.372527
FBN1_ITGB3           0.005326   1.093431   0.132867      0.374924
VIP_NPR3             0.004514   1.020449   0.136863      0.385762
HSP90B1_TLR4         0.004950   1.080646   0.138861      0.390508
