Overall Pearson r:    0.8467
Overall Spearman rho: 0.8432
Overall RMSE:         0.0562

Per-cell-type:
  B cell                     r=0.8627  RMSE=0.0803
  CAF                        r=0.9802  RMSE=0.0392
  Endothelial                r=0.9731  RMSE=0.0248
  Malignant                  r=0.9631  RMSE=0.0669
  Myeloid                    r=0.9816  RMSE=0.0646
  Normal_Epithelial          r=0.9557  RMSE=0.0586
  PVL                        r=0.9580  RMSE=0.0257
  Plasma                     r=0.9765  RMSE=0.0435
  T_cells                    r=0.9656  RMSE=0.0718
