desc,v0_none,v1_ratio,v3_irwls,music,dwls_minor
Tumor Purity (60-90%),0.9075950842266526,0.9174535264660113,0.9211907897170792,0.8956097822539306,0.8744486052403057
Titration (0-90%),0.8801490378492357,0.8917001527621775,0.8925815778612202,0.8643372813758492,0.740808501824706
Uniform (alpha=1.0),0.8280606859398262,0.8398366292292907,0.8453448508049665,0.8763627362240798,0.7190121568383517
Sparse (alpha=0.3),0.907943812736755,0.9161321797620602,0.9183617352463798,0.946315590126228,0.856096462923558
