Overall Pearson r:    0.9232
Overall Spearman rho: 0.8661
Overall RMSE:         0.0630

Per-cell-type:
  B cell                     r=0.9156  RMSE=0.1011
  CAF                        r=0.9820  RMSE=0.0436
  Endothelial                r=0.9846  RMSE=0.0349
  Malignant                  r=0.9623  RMSE=0.0666
  Myeloid                    r=0.9843  RMSE=0.0596
  Normal_Epithelial          r=0.9478  RMSE=0.0649
  PVL                        r=0.9661  RMSE=0.0408
  Plasma                     r=0.9832  RMSE=0.0452
  T_cells                    r=0.9667  RMSE=0.0802
