"","Endothelial ACKR1","Endothelial RGS5","Endothelial CXCL12","CAFs MSC iCAF-like","CAFs myCAF-like","PVL Differentiated","PVL Immature","B cells Memory","T cells CD8+","T cells CD4+","Macrophage","Monocyte","DCs","Myoepithelial","Luminal Progenitors","Mature Luminal","Plasmablasts","Cancer Cycling","Cancer Her2 SC","Cancer LumB SC","Cancer LumA SC","Cancer Basal SC"
"Bulk_0015",0.0610407547007791,0.0768392370516755,0.0809340626367167,0.028853729430077,0.0145192985502526,0.0270781992202313,0.0418720440173529,0.244663265935501,0.096687443130363,0.0432153935517993,0.0206431215518194,0.0229345161886143,0.00598010093406586,0.0156544504062533,0.0301431012069498,0.00687873564483041,0.165575871189499,4.14468847998646e-09,0.00204667489898813,3.81231557954445e-19,0.0144399901644005,5.44514273736293e-09
"Bulk_0016",0.0954831078355426,0.079579578885601,0.101190053358203,1.17067779028636e-20,0.000325209352579679,6.25190612781255e-05,0.0217191780435959,0.0392260787502437,0.20687808291332,0.140033007456284,0.00855252462637137,0.00118860946851041,0.00217659735418203,0,0.000461562098734137,0.00173818834708774,0.299638422539534,1.10603417305241e-09,0.00174724475986343,2.25164934431359e-09,3.17913849158147e-08,4.88132887829875e-20
"Bulk_0017",0.0304903037396731,0.039403877858048,0.0331644639139015,0.0883458942530223,0.0564467582139229,0.0160937546437731,0.0599059390255326,0.278869122342202,0.0917538567957122,0.0334333097880717,0.069649967097323,0.0460179566479766,0.00845871301042437,0.0115917465255845,0.0326394828023117,0.00798836167253321,0.0833021577422259,1.80904788601816e-09,0.000610779698439805,4.08803014079533e-20,0.011833552420274,3.06862891212513e-21
"Bulk_0018",0.0672149313104125,0.025741488658988,0.0691122055319031,0.218928507362336,0.0909464368739396,0.00287025407373689,0.0648485719243204,0.0673976074091101,0.00966811704960418,4.58591094550171e-09,0.00853135755509509,0.0253097327976425,0.00266564974136512,0.0205244250670405,0.0789503280990794,0.0133900467137073,0.145205206479872,3.09334977364952e-19,0.0195352612946029,0.0236608805289174,0.0454989869424162,4.05104809910025e-20
"Bulk_0019",0.0520860314129908,0.0935019500746999,0.0587423323739237,0.0497610703784353,0.0358750750810407,0.0646409441093459,0.112165137121206,0.092256763436609,0.0762138526826835,0.0578098148995344,0.0561089801255021,0.0524228440785593,0.0121541653926644,3.37853830252152e-20,0.0358730692836916,0.00862432950407848,0.04383000922809,1.40599926481634e-12,0.00750553343744835,0.0904280972868587,9.12316579653295e-11,4.35536709087991e-20
"Bulk_0020",0.0999561020812698,0.107834816003371,0.114525108238763,0.112108050465596,0.0619461151353262,1.79469962544034e-09,0.0564094813499991,0.0660210709757331,0.02680442787756,0.0118261485166946,0.0199783106946237,0.0149107011938259,0.0147678864270949,0,0.0331799863614886,0.0044134127304231,0.143792397651824,0,0.0292463414048295,0.0562535700725487,0.0260260710243298,0
"Bulk_0021",0.00771811513455288,1.0423797437332e-08,0.0109543783979377,0.181385251060084,0.0904970820200631,0.0466096470279515,0.111719199700204,1.92365683302179e-08,0.00618880879120586,0,0.043058698928778,0.0438786559549642,4.47237143794611e-08,0.00688686441643165,0.0480280653643667,0.00463091896775443,0.385949869342129,1.23436315972499e-09,0.00319428818226313,5.39573429351568e-09,0.00930007569713691,4.22223703208814e-21
"Bulk_0022",0.0758497832899918,0.109090625749701,0.0804922658324364,0.0137243099596838,0.01664373134819,0.028416022351162,0.0397287141225293,0.0367783215419156,0.0276089334220139,0.00609015108658515,0.0180376819552444,0.00401804370167059,0.00612225546032435,0.015141589561151,0.0703139436381367,0.0180053703743175,0.25076142213271,0.046790298273168,0.00861390303787989,0.0956044226913079,0.0321682104698807,1.63448884518585e-19
"Bulk_0023",8.34582977887662e-05,2.5741094184973e-19,1.95626195682919e-20,0.0642393406131239,0.0140760837533671,0.038707631861611,0.0652822195445493,6.18574325228737e-09,4.25482512606109e-08,1.68140124209768e-18,0.0431552851414468,0.0355748551238368,1.19325748514506e-08,0.0150483219366143,0.0614334240713206,0.00602661170661566,0.645439935760543,8.69976283424824e-11,0.00253655028870169,0,0.00837226704643487,2.39541004797658e-05
"Bulk_0024",0.0747900638455089,0.0130883786684737,0.0325075653221,0.0240672908769333,0.0150887185107211,0.0752421564042059,0.0661350819008574,0.0239463465485753,0.0447473702125997,0.105761945258845,0.0308027973143932,0.00670281536769442,0.0241482808616985,0.00511468851231949,0.154379791264088,0.0340771236934484,0.00112809390841995,5.38260727119774e-15,0.0429820379383936,0.104121280992574,0.121168172598145,0
"Bulk_0025",0.01793487127141,0.0301420148796663,0.0257769125483734,0.0403495133777099,0.0245380138706169,0.0212456331076926,0.0596006123952511,0.00856536830207379,0.0762621511779291,0.0556720230907038,0.0690874847480864,0.0386720248204118,0.0110778946902711,0.0438058669214338,0.136711236630933,0.0495863521965197,0.243637203402308,0.00872071758480836,0.0013265993836233,0.0171954538311821,0.0200920517689961,0
"Bulk_0026",0.0300062665633471,0.0575343280042773,0.0526569649831885,0.0528050768498235,0.0160173360518894,0.0729848269703396,0.107445601560538,0.0590257848267459,0.0456233580356397,0.00704808959387093,0.0292125041769171,0.0274738920621781,0.00189375908595539,0.0248241874739707,0.121470791714567,0.0479783863660628,0.181289593149086,0.00158389550795992,0.00389261714736596,0.0179879748980681,0.0412447649782082,2.59274634326395e-21
"Bulk_0027",0.000840253582882137,0.0102936944847908,0.0111907562204179,0.0122783544290772,0.00461529001091755,0.023041107345269,0.0292649935778491,0.0885886405457999,0.116724069056872,0.0258732825216588,0.0674799641290818,0.0344310014656089,0.0118042573091875,0.027128920753676,0.0798234172844927,0.0291216732663888,0.376751698989236,0.00124269173951219,0.00268294864705271,0.0269722541461882,0.019850730494041,0
"Bulk_0028",0.0023430203078001,3.06070594756512e-08,0.00704848386249314,0.102445629873729,0.0389718120255199,0.0521289150369151,0.139427272268904,2.15200106955926e-07,9.27419211153237e-08,0,0.0803982634015882,0.0514247882594641,2.20054933458253e-07,0.0102535123929111,0.0489928682684636,0.0141925314278165,0.43862605199294,0.000186951277755205,0.0020819604150477,1.30344848127918e-08,0.011477367550146,0
"Bulk_0029",0.00403042113960681,0.0238934415577986,0.0153550435116484,0.0327602275570366,0.0221044232204965,0.0678472444199715,0.171564656903263,1.03615736336042e-06,0.0421642772322879,0.0204026488762594,0.0654161738845127,0.0514594809844646,0.0060368710526026,0.00112085400564236,0.026517382602892,0.00709015582931438,0.438499710131506,0.000502575441027637,0.00177432984794803,0,0.00133592148461212,0.000123124159744989
"Bulk_0030",0.0201989916974579,0.0206993639449828,0.0154379185626883,0.0124968493986718,0.00563626357810435,0.0282903601350583,0.0210679601854875,0.32595255979553,0.108283968347311,0.0730278930844056,0.112770661064202,0.0498125950677487,0.0175077645293026,0.0205519627291194,0.0469445118827183,0.0244559135358374,0.0674143166376283,0.0107611416649169,2.27382178109788e-07,2.10645903969629e-19,0.0186887767766503,0
"Bulk_0031",0.0925224963453012,0.105715416614696,0.0799937368514678,0.0649891414215292,0.029940467783494,0.0765787208525157,0.143377734861471,5.69575363689059e-08,0.0295541129613792,0.0624113234361486,0.031697784020429,0.0206634937471549,0.00530787434834419,0.00511097797170017,0.0811570539212357,0.020842546598447,0.117149148919998,1.34556759726768e-10,0.00778724597883949,1.46171480409909e-09,0.0252006648120414,0
"Bulk_0032",0.0220807025186013,0.0484652570014716,0.00695486157675811,0.156555662993457,0.0701259832248391,0.101208967441006,0.218056478125,3.40538332589903e-19,0.0596740350395683,0.0627027046518906,0.039128402278467,0.0457954303699941,0.00583443116618187,0.0177273046631981,0.0673228094577115,0.0126302423415366,0.00314721016011268,3.13467056793576e-11,0.00671225568641345,0.0237404543415961,0.0321368069308499,2.18601991898401e-20
"Bulk_0033",2.48661741302455e-09,0.00206439527036935,0.00447145532193857,0.0813152728422986,0.0648216513510142,0.0267117745833594,0.0391721128725834,0.229905132483831,0.00809438184491509,0.0186763905311844,0.0282462094983287,0.000212037491291073,0.0169065175713422,0.0219596621592626,0.093491080303322,0.0167634003875319,0.120484823293936,0.0749086831013546,0.00941829891003544,0.105167212830941,0.033120643793919,0.00408886107062416
"Bulk_0034",0.0506157972808305,0.0186413817864682,0.0557495983735236,0.250390977610597,0.117873729877746,7.94069311751252e-10,0.0674704856828054,0.0532683734491486,0.0246679637027237,6.98261743774242e-09,0.0310763882409687,0.0306543179981847,0.00564967030136138,0.00198443231587128,0.0327017136924897,0.00362443295157418,0.215834461241765,1.13861107352249e-10,0.0161629339661014,0.0149111586280837,0.00872217500920954,0
