Overall Pearson r:    0.9172
Overall Spearman rho: 0.8593
Overall RMSE:         0.0653

Per-cell-type:
  B cell                     r=0.9065  RMSE=0.1062
  CAF                        r=0.9815  RMSE=0.0437
  Endothelial                r=0.9831  RMSE=0.0354
  Malignant                  r=0.9628  RMSE=0.0659
  Myeloid                    r=0.9828  RMSE=0.0620
  Normal_Epithelial          r=0.9443  RMSE=0.0695
  PVL                        r=0.9654  RMSE=0.0414
  Plasma                     r=0.9821  RMSE=0.0527
  T_cells                    r=0.9622  RMSE=0.0801
