variant,scenario,cell_type,r,bias,var_ratio,rmse
v0_none,uniform,B cell,0.6018700999967281,-0.052772009512185074,0.2622630027534135,0.09265196798986934
v0_none,uniform,CAF,0.9791619004805661,-0.02020327988515266,0.5954324738903031,0.03834063236097332
v0_none,uniform,Endothelial,0.9683010635681101,0.00873354868869737,1.0303200061796862,0.027178158606360484
v0_none,uniform,Malignant,0.9623753821213775,0.028013012016117403,0.812680463226073,0.04001031670954607
v0_none,uniform,Myeloid,0.9787245500918105,0.053991025462526814,1.629073487342476,0.06651354673967881
v0_none,uniform,Normal_Epithelial,0.9017233805082077,0.06575463602098186,1.7939173607755865,0.09067736792628574
v0_none,uniform,PVL,0.9646040701039296,-0.0014291558813585919,0.8486668557241543,0.023196521006499587
v0_none,uniform,Plasma,0.9785993370409998,-0.031824061290579395,0.5955724997650199,0.043312777109639426
v0_none,uniform,T_cells,0.9320309550741707,-0.05026371561904772,0.3294808212979916,0.07105559621883666
v0_none,sparse,B cell,0.823843544008292,-0.05313098361352037,0.21964351240673335,0.11786738331384174
v0_none,sparse,CAF,0.9788007489659009,-0.01480661442628751,0.623819728468471,0.04413954985369489
v0_none,sparse,Endothelial,0.9791519000205968,0.0053666143639626894,0.8742370691278609,0.0343805356122779
v0_none,sparse,Malignant,0.9637554297463251,0.018289840725974768,0.6912217824989093,0.055901529785744655
v0_none,sparse,Myeloid,0.9851405019051878,0.04455572799206009,1.2924030204489625,0.06109456420549726
v0_none,sparse,Normal_Epithelial,0.9087283685828234,0.058739687478678485,1.2455135823287184,0.09342661851360873
v0_none,sparse,PVL,0.9702984011642541,-0.0007352140871825359,0.8773184470476266,0.037758716198044544
v0_none,sparse,Plasma,0.9842679451279596,-0.023740571136054614,0.7078716906679378,0.04500113335766596
v0_none,sparse,T_cells,0.9439083802532585,-0.034538487297630975,0.4189628887291066,0.0798045740689639
v0_none,tumor_purity,B cell,0.4469884713337347,-0.02339781172024389,0.21600938908615686,0.03871272137972032
v0_none,tumor_purity,CAF,0.9652134429159398,-0.002612539313263892,0.32309207945079205,0.016636430926331325
v0_none,tumor_purity,Endothelial,0.947339146016928,-0.009677764565262356,0.5691652126427902,0.014494663299995453
v0_none,tumor_purity,Malignant,0.915752050460174,-0.17447942609279404,0.27423812994436486,0.18255504682391552
v0_none,tumor_purity,Myeloid,0.9782521906521756,0.019794932865100714,1.1577960898074355,0.0211210191662444
v0_none,tumor_purity,Normal_Epithelial,0.5397835373807797,0.22883931590233111,1.2242153663012827,0.23062218525275963
v0_none,tumor_purity,PVL,0.9781255178885316,-0.010147478371056713,0.38402397879598105,0.01798193784184232
v0_none,tumor_purity,Plasma,0.9639068723768937,-0.01557160234655073,0.22127244983044325,0.022963791439252812
v0_none,tumor_purity,T_cells,0.8732804572813023,-0.01274762635826022,0.1731635313188437,0.02243138983867464
v0_none,titration,B cell,0.5841729932219899,-0.04332130309404447,0.24981542939782572,0.07377573929515194
v0_none,titration,CAF,0.965475598459379,-0.007268376337064344,0.5577111713576377,0.020288847626357662
v0_none,titration,Endothelial,0.9760583551066218,-0.001404132136777415,1.0467676136399826,0.01755515980961455
v0_none,titration,Malignant,0.9845934070497785,-0.06284655194553072,0.435185362816326,0.12265650182658414
v0_none,titration,Myeloid,0.9757219473272539,0.03291359284814083,1.5068232810449416,0.04055375775886577
v0_none,titration,Normal_Epithelial,0.5438761444572867,0.1509679025979757,1.546893284775575,0.1722834400733149
v0_none,titration,PVL,0.9587039363387646,-0.009506200348420724,0.7375248827920348,0.02255268701086542
v0_none,titration,Plasma,0.983040007183739,-0.027180588827025353,0.5078823656836157,0.039614944198690806
v0_none,titration,T_cells,0.9642635414559123,-0.032354342757253546,0.26965253224265695,0.06022919135223429
