variant,scenario,cell_type,r,bias,var_ratio,rmse
v1_ratio,uniform,B cell,0.6388576343419079,-0.047087602658322895,0.27061475415620134,0.08751406093844732
v1_ratio,uniform,CAF,0.9799455520518178,-0.020908975505478492,0.5908241733377991,0.038724614730648
v1_ratio,uniform,Endothelial,0.9712769393515797,0.006240704436830471,1.0156371113830274,0.025167066835134824
v1_ratio,uniform,Malignant,0.9635198605242813,0.027591710281292495,0.8085965630586524,0.03948033853791723
v1_ratio,uniform,Myeloid,0.9789134127866388,0.05161121587130097,1.5990327078639526,0.06393410717136358
v1_ratio,uniform,Normal_Epithelial,0.9078373307358416,0.06223606521535573,1.7309688458396397,0.08601332364707083
v1_ratio,uniform,PVL,0.9646741326099688,-0.0019525713200478354,0.8372023941493493,0.023307591661928962
v1_ratio,uniform,Plasma,0.979793633968676,-0.025091437037704393,0.6975624879510779,0.03531536726291735
v1_ratio,uniform,T_cells,0.9378831817663734,-0.05263910928322606,0.31608884376070456,0.07288865102444693
v1_ratio,sparse,B cell,0.848351703829287,-0.047618599728984155,0.25024881106834695,0.11045472495831059
v1_ratio,sparse,CAF,0.979193724101999,-0.01522612583834093,0.6236138405457484,0.04413816742862304
v1_ratio,sparse,Endothelial,0.981714191001605,0.0029041270380952304,0.8725093416351555,0.032188562166165
v1_ratio,sparse,Malignant,0.9645645177309533,0.018671485813996386,0.6958706192435703,0.05544021822246463
v1_ratio,sparse,Myeloid,0.9860107901958671,0.04224655576610267,1.2698882408436327,0.05804925631784137
v1_ratio,sparse,Normal_Epithelial,0.9137935383358758,0.055154843632125757,1.2076217704120202,0.08879433428292667
v1_ratio,sparse,PVL,0.9706755240972409,-0.0010875089996919744,0.8745683902901772,0.03757558341566515
v1_ratio,sparse,Plasma,0.9852473319823141,-0.017578522557791548,0.7892989418641758,0.03745883083057089
v1_ratio,sparse,T_cells,0.9529883437569893,-0.03746625512551142,0.4024507909295698,0.08051143826966463
v1_ratio,tumor_purity,B cell,0.4459507336021511,-0.021104431052710475,0.28444083893630445,0.03750216168178095
v1_ratio,tumor_purity,CAF,0.9661628138721841,-0.00182201247408255,0.32592981969105905,0.01641992125545172
v1_ratio,tumor_purity,Endothelial,0.9502837950015816,-0.009246318496161013,0.5926755566593656,0.013906614418817817
v1_ratio,tumor_purity,Malignant,0.9212119660924312,-0.1690694625857326,0.2974680597383606,0.17680974330233484
v1_ratio,tumor_purity,Myeloid,0.9782106221380615,0.01910045833397316,1.16993874145768,0.020502353697816902
v1_ratio,tumor_purity,Normal_Epithelial,0.58706297013742,0.21738200536447436,1.1079567201952731,0.21897186506693858
v1_ratio,tumor_purity,PVL,0.9780736230632261,-0.010081201473179818,0.3944977470491221,0.017733081368051278
v1_ratio,tumor_purity,Plasma,0.9669744108162742,-0.01427005161464586,0.2704024356319593,0.021058901041671754
v1_ratio,tumor_purity,T_cells,0.8512337324813886,-0.010888986001935165,0.17210114883868152,0.02177358758086891
v1_ratio,titration,B cell,0.6082747778767456,-0.03903807587866456,0.27092671736155105,0.070280276341188
v1_ratio,titration,CAF,0.9654412917028643,-0.007122014999168844,0.5504084759425686,0.020406331130821707
v1_ratio,titration,Endothelial,0.9777605553750309,-0.002207327517262054,1.0223534141186792,0.0168436153546953
v1_ratio,titration,Malignant,0.9861411965359806,-0.061251161519461216,0.4507201274130009,0.11861827152351401
v1_ratio,titration,Myeloid,0.976266807990037,0.031348320411357294,1.4706966976993727,0.03874130240763011
v1_ratio,titration,Normal_Epithelial,0.57314541486218,0.1433931086071925,1.432444033529018,0.16334460795475003
v1_ratio,titration,PVL,0.9603193357158185,-0.00953911263595127,0.7381972026988125,0.022273627374961167
v1_ratio,titration,Plasma,0.9838920327213516,-0.022894756187982104,0.5930353672173463,0.03359360123016583
v1_ratio,titration,T_cells,0.9631069895658199,-0.03268898028005975,0.25735008355089556,0.06135649148028714
