"gene","value"
"A1BG",0.739985074626866
"A2M",0.950985074626866
"A2ML1",0.950985074626866
"A4GALT",-0.280597014925373
"AAAS",1.05192537313433
"AACS",0.871358208955224
"AADAC",0.112791044776119
"AADAT",0.370373134328358
"AAED1",0.350671641791045
"AAGAB",0.021910447761194
"AAK1",-0.0550746268656716
"AAMDC",-0.0940149253731343
"AAMP",0.00877611940298508
"AAR2",0.747686567164179
"AARD",0.491925373134328
"AARS",0.768880597014925
"AARS2",0.0997313432835821
"AARSD1",-0.101298507462687
"AASDH",0.541149253731343
"AASDHPPT",-0.167074626865672
"AASS",0.587910447761194
"AATF",-0.0661044776119403
"AATK",-0.00583582089552239
"ABAT",0.788388059701493
"ABCA1",0.366925373134328
"ABCA10",-0.0547014925373134
"ABCA11P",0.619402985074627
"ABCA13",0.674313432835821
"ABCA17P",0.738388059701493
"ABCA2",0.414567164179104
"ABCA3",0.738388059701493
"ABCA4",-0.202701492537313
"ABCA5",-0.0547014925373134
"ABCA6",-0.0547014925373134
"ABCA7",0.742313432835821
"ABCA8",-0.0547014925373134
"ABCA9",-0.0547014925373134
"ABCB1",0.642507462686567
"ABCB10",0.0286716417910448
"ABCB4",0.628611940298507
"ABCB5",0.669
"ABCB6",-0.015910447761194
"ABCB7",0.165149253731343
"ABCB8",0.629208955223881
"ABCB9",0.93565671641791
"ABCC1",0.751223880597015
"ABCC10",0.086089552238806
"ABCC2",0.21265671641791
"ABCC3",-0.0122985074626866
"ABCC4",-0.178731343283582
"ABCC5",0.13744776119403
"ABCC6",0.751223880597015
"ABCC6P1",0.751223880597015
"ABCC9",0.975268656716418
"ABCD1",0.210880597014925
"ABCD2",1.01764179104478
"ABCD3",-0.204402985074627
"ABCD4",0.195701492537313
"ABCE1",0.397358208955224
"ABCF1",0.0716567164179105
"ABCF2",0.629208955223881
"ABCF3",0.15344776119403
"ABCG1",0.244238805970149
"ABCG2",0.507194029850746
"ABCG4",-0.15310447761194
"ABHD1",-0.0407462686567164
"ABHD10",0.0638059701492537
"ABHD11",0.74010447761194
"ABHD12",0.708134328358209
"ABHD13",-0.175925373134328
"ABHD14A",0.0135522388059701
"ABHD14B",0.0135522388059701
"ABHD15",-0.0641791044776119
"ABHD16A",0.0931940298507463
"ABHD16B",0.707522388059701
"ABHD17A",0.77344776119403
"ABHD17B",0.33134328358209
"ABHD17C",0.0316268656716418
"ABHD2",0.0398507462686567
"ABHD3",-0.0995970149253731
"ABHD4",0.353283582089552
"ABHD5",-0.0268208955223881
"ABHD6",0.0175074626865672
"ABHD8",0.78665671641791
"ABI1",0.206089552238806
"ABI2",-0.017910447761194
"ABI3",-0.0778208955223881
"ABI3BP",0.0637462686567164
"ABL1",0.409761194029851
"ABL2",0.0081044776119403
"ABLIM1",0.273044776119403
"ABLIM2",0.581746268656716
"ABLIM3",1.04964179104478
"ABO",0.401776119402985
"ABR",-0.114134328358209
"ABRACL",0.0932835820895522
"ABT1",0.0907910447761194
"ABTB1",0.0993880597014925
"ABTB2",-0.153119402985075
"ACAA1",-0.00517910447761194
"ACAA2",-0.17744776119403
"ACACA",-0.0661044776119403
"ACACB",0.979238805970149
"ACAD10",0.923910447761194
"ACAD11",0.115791044776119
"ACAD8",-0.177194029850746
"ACAD9",0.0990298507462687
"ACADL",-0.0168059701492537
"ACADM",-0.192223880597015
"ACADS",0.924059701492537
"ACADSB",0.26365671641791
"ACADVL",-0.13934328358209
"ACAN",0.0398507462686567
"ACAP1",-0.129164179104478
"ACAP2",0.132164179104478
"ACAP3",-0.199238805970149
"ACAT1",-0.167298507462687
"ACAT2",0.0626119402985075
"ACBD3",0.0291194029850746
"ACBD4",-0.0515223880597015
"ACBD5",0.206089552238806
"ACBD6",0.0194626865671642
"ACBD7",0.257432835820896
"ACCS",-0.139164179104478
"ACD",0.802074626865672
"ACE",-0.0337761194029851
"ACE2",0.209179104477612
"ACER2",0.127537313432836
"ACER3",-0.0870746268656716
"ACHE",0.604641791044776
"ACIN1",0.34865671641791
"ACKR1",0.0505074626865672
"ACKR2",-0.0268208955223881
"ACKR3",-0.038865671641791
"ACKR4",0.115791044776119
"ACLY",-0.100044776119403
"ACO1",0.23
"ACO2",-0.260925373134328
"ACOT1",0.197208955223881
"ACOT11",-0.188328358208955
"ACOT13",0.0742985074626866
"ACOT2",0.197208955223881
"ACOT4",0.197208955223881
"ACOT7",-0.239761194029851
"ACOT8",0.723805970149254
"ACOT9",0.201582089552239
"ACOX1",0.0284477611940298
"ACOX2",0.0173134328358209
"ACOX3",0.581746268656716
"ACP1",-0.0631194029850746
"ACP2",-0.0717761194029851
"ACP5",0.776746268656716
"ACP6",-0.0295522388059701
"ACPP",0.115791044776119
"ACRBP",0.97179104477612
"ACRC",0.165955223880597
"ACSBG1",0.0446417910447761
"ACSF2",-0.0427164179104478
"ACSF3",0.643611940298507
"ACSL1",0.311492537313433
"ACSL3",-0.0174477611940299
"ACSL4",0.177283582089552
"ACSL5",0.253820895522388
"ACSL6",1.02877611940299
"ACSM1",0.741686567164179
"ACSM3",0.741686567164179
"ACSM5",0.741925373134328
"ACSS1",0.708910447761194
"ACSS2",0.775746268656716
"ACSS3",1.00155223880597
"ACTA1",0.0286716417910448
"ACTA2",0.203492537313433
"ACTB",0.71855223880597
"ACTC1",-0.0228059701492537
"ACTG1",0.0107014925373134
"ACTG2",-0.0483432835820896
"ACTL10",0.771388059701492
"ACTL6A",0.123865671641791
"ACTL6B",0.619477611940298
"ACTN1",0.227492537313433
"ACTN2",0.00828358208955224
"ACTN4",0.697537313432836
"ACTR10",0.216835820895522
"ACTR1A",0.238313432835821
"ACTR1B",-0.0308507462686567
"ACTR2",-0.0312388059701493
"ACTR3",-0.0213283582089552
"ACTR3B",0.629701492537313
"ACTR3C",0.621671641791045
"ACTR5",0.71555223880597
"ACTR6",0.909641791044776
"ACTR8",0.00505970149253731
"ACTRT3",0.128029850746269
"ACVR1",-0.0265970149253731
"ACVR1B",1.06359701492537
"ACVR1C",-0.0265970149253731
"ACVR2A",-0.0280746268656716
