"","Hepatocyte","Cholangiocyte"
"AP006222.2",0.57503632996212,1.55930879184104
"LINC00115",0.12443932513032,0.451750727766967
"FAM41C",0.150315338556547,0.23314989335418
"SAMD11",0.0405230500221864,0.0103114076030339
"NOC2L",0.853620339193832,1.93702058334405
"KLHL17",0.170492640607116,0.22209357726192
"PLEKHN1",0.105423106147873,0.675045815414209
"HES4",0.957842202067954,17.920985112888
"ISG15",24.1193215305571,22.2004341136193
"AGRN",0.874127374106998,8.27259867913394
"C1orf159",0.122516282368819,1.00977205623476
"TNFRSF18",2.67766757895261,0.564683395627505
"TNFRSF4",3.44872858044962,0.379252088883342
"SDF4",3.0707622489145,8.91127920638499
"B3GALT6",0.587455245432039,2.10153051550057
"UBE2J2",1.43594896260886,5.29889789843512
"SCNN1D",0.10209115479685,0.267445382300814
"ACAP3",0.392903405707041,1.71232842482968
"PUSL1",0.457337918791669,1.95169811633003
"CPTP",1.024411176484,1.47112076640069
"TAS1R3",0.00128799129977333,0
"DVL1",0.81773373992777,1.133666753537
"MXRA8",0.0357120477769413,0.824150608045793
"AURKAIP1",17.4706598971373,23.8681523622914
"CCNL2",1.07611425753389,3.83713829189292
"MRPL20",14.819210872276,16.5111848435014
"ANKRD65",0.0668676520795773,0.73673959708421
"VWA1",1.61066099719658,4.66985668098551
"ATAD3C",0.213741660108755,0.00823625939983519
"ATAD3B",0.571730928286403,0.671553350323299
"ATAD3A",0.598833412141039,1.75168634770899
"TMEM240",0.0146847098695117,0.0119564253099091
"SSU72",8.76914284439574,16.114413549846
"MIB2",1.46728757223454,2.55475899619782
"MMP23B",0.0899476740879772,0.783546188038111
"CDK11B",1.35192426989972,2.62409001006684
"SLC35E2B",0.467183038456342,1.18418742451794
"CDK11A",0.939726231234043,2.32786613190545
"NADK",1.90028610185004,1.4125247771231
"GNB1",3.52082643628871,6.69698606738078
"TMEM52",0.238018705854262,0.437802518076098
"GABRD",0.00781451956490005,0.00954163784694468
"PRKCZ",0.55011381640137,1.40320428521497
"FAAP20",5.54557427959558,11.2240466230016
"SKI",0.832557462280908,2.01730978531777
"MORN1",0.0577674686936889,0.882740590892631
"RER1",8.15997783829952,14.5999670185173
"PEX10",0.569708652161641,1.40723374629471
"PLCH2",0.207169060724888,0.084160915670763
"PANK4",0.222026113854174,0.378890240024279
"TNFRSF14",2.01420796768455,4.70556035945747
"MMEL1",0.00406931360490659,0.303557873801835
"TTC34",0.00687351227371762,0.0491608921489234
"PRDM16",0.00119395794240165,0.437522931902403
"ARHGEF16",0.114551428006724,1.92563997816397
"MEGF6",0.0376178561983166,0.434745586942517
"TPRG1L",0.738775203557365,1.68689627264171
"WRAP73",0.354925498467002,1.54381055371824
"TP73",0.0910814584964554,0
"SMIM1",2.4388522122081,1.18924460945481
"LRRC47",0.684898948222889,2.07528261113756
"CEP104",0.563894239354654,1.68417340237065
"DFFB",0.0711886211493076,0.232315221660372
"C1orf174",0.675993669371235,1.81562725433569
"LINC01134",0.0203935466720603,0
"NPHP4",0.0917145345388939,0.786649738600149
"KCNAB2",0.709780216163855,0.557075736009323
"RPL22",100.495588861649,143.426207797871
"RNF207",0.0928895966221279,1.40577037475903
"ICMT",0.565996799538794,2.34965446790452
"GPR153",0.116229181909069,0.0263765259846823
"ACOT7",1.06335497008644,2.42913791971951
"HES2",0.031755397343919,0.0077518202049023
"ESPN",4.22883370758781,1.64211220468123
"TNFRSF25",0.720157001711472,1.19658544664431
"PLEKHG5",0.0122977275666734,0.31911008041341
"NOL9",0.508781092826145,0.753804580228061
"ZBTB48",0.715838190555046,0.868592200293279
"KLHL21",0.57766870173715,1.09598346058414
"PHF13",0.173124747491131,0.721639025933801
"THAP3",0.573959426012269,1.13182965464096
"DNAJC11",0.470515764078967,1.85168402662554
"CAMTA1",9.63149422861323,10.6709123614722
"VAMP3",1.45906646843979,3.56163559084647
"PER3",0.356268519971024,1.17592772640573
"UTS2",0.120254422371125,0.00499733666942203
"TNFRSF9",0.919476225643323,0
"PARK7",23.0022015746755,25.5182711829764
"ERRFI1",6.46451811583493,17.0882887262696
"SLC45A1",0,0.0495642666933468
"RERE",1.07715818258946,5.53174879193959
"ENO1",15.893721189325,52.4267217961627
"ENO1-AS1",0.201907517949446,0.0457083775290178
"SLC2A5",0.0599280753063118,0
"GPR157",0.259106955630039,0.884434115150624
"MIR34AHG",0.00914664217722935,0.577239025693969
"H6PD",1.73123392453253,3.63368873731348
"SPSB1",0.67429540944788,1.46042855169318
"SLC25A33",2.63478244913869,2.4561320617851
"TMEM201",0.062024506189084,0.653359913925084
"PIK3CD",0.499821975686263,0.136965863284625
"PIK3CD-AS2",0.0339688909054912,0.855161976241716
"CLSTN1",0.481054606897806,4.35417911082333
"CTNNBIP1",1.17808124081464,2.59649812778084
"LZIC",1.79558068203928,3.84600701096157
"NMNAT1",0.311892751498512,1.22424445316391
"RBP7",0.581313664297111,0.378716177767569
"UBE4B",0.505383300918674,1.66142241251168
"KIF1B",0.922563353045854,2.17449991594651
"PGD",2.07328056893719,4.1322892017478
"DFFA",1.00527257746657,3.6470024121235
"PEX14",1.02058176257844,0.858765034578138
"CASZ1",0.0322568954487101,2.08679806848323
"TARDBP",2.11202321369484,4.51770993238468
"MASP2",11.9258319146142,0.211568831170385
"SRM",3.60197315602387,6.71489370264579
"EXOSC10",0.492640496329512,1.38089730253601
"MTOR",0.556034399868115,0.625760087450838
"UBIAD1",0.476730993584756,0.847359172419622
"FBXO2",5.34059910155433,5.28121798598852
"FBXO44",0.554342891979933,1.16310557683561
"FBXO6",0.875450951947414,1.35932333658112
"MAD2L2",2.49199701059925,2.89911039125383
"DRAXIN",0.0277673094196226,0
"AGTRAP",1.49972395975265,4.31463668427606
"C1orf167",0,0.153363084941023
"MTHFR",0.359272087335148,1.69965536619132
"CLCN6",0.0898011230178754,0.523538761676617
"KIAA2013",1.43437304575175,2.00502066340789
"PLOD1",1.21569801919141,2.85238167908105
"MFN2",0.808057692139246,1.4958192944067
"MIIP",0.678636573501083,2.05319231118857
"TNFRSF8",0.0398201787775203,0
"TNFRSF1B",1.75178562518348,0.91979939880506
"VPS13D",0.619840711173261,2.95226460082123
"DHRS3",4.801677828634,4.12331961028549
"PDPN",0,0
"PRDM2",1.23983593356622,2.10407362687455
"KAZN",0.0195844000772442,0.173257235260023
"TMEM51-AS1",0.00119395794240165,0.755651793570007
"TMEM51",0.00157887650179575,1.92363922552003
"FHAD1",0,0.0505276273098705
"EFHD2",3.88712556693668,2.9760203767868
"CASP9",0.33133613989196,0.66302226983641
"DNAJC16",0.463440261082429,1.64986535171024
"AGMAT",2.84283625732636,0.589052163507673
"DDI2",1.0731486926044,2.44463573450233
"PLEKHM2",0.550297203647694,1.38958214311724
"SLC25A34",0.0985127413422313,0.0077518202049023
"TMEM82",0.893089300174312,0.0426617863694601
"FBLIM1",0.170964739754831,1.88103734780156
"UQCRHL",0.150909231102979,0.94854970356478
"SPEN",0.77281012252462,2.9506047543392
"ZBTB17",0.184538080732424,0.627825164505303
"HSPB7",0,0.0543126906804484
"FAM131C",0,0.272121353097016
"EPHA2",0.213767933792205,4.0398200087651
"ARHGEF19",0.124926173124519,0.957294061816445
"FBXO42",0.378599695502187,1.08917863486305
"SZRD1",2.0042041407237,4.55406907866605
"SPATA21",0.0415933720611042,0.194487418465141
"NECAP2",1.3457207733576,3.78372591610783
"NBPF1",0.231945809275901,0.466389231241378
"CROCC",0.36054996956058,0.719597937059882
"MFAP2",0.0233707815925717,0.773302270760895
"ATP13A2",0.177370243203173,1.39725748602695
"SDHB",7.23853931442883,8.16707251125016
"PADI2",0.058152301711018,0.0766976448454195
"PADI3",0,0
"PADI4",0,0.0722416736123055
"RCC2",0.746184729564653,2.41292380656325
"ARHGEF10L",0.766118298403418,1.30743906732168
"IGSF21",0.0146486727018392,0
"KLHDC7A",0.103509972991679,0.318724089976558
"ALDH4A1",2.99574810754282,1.96450548119777
"IFFO2",0.348180987983017,3.0806049142118
"UBR4",0.707407723823087,5.32007266723543
"EMC1",0.48068888689738,2.27568493982923
